model,mode,total_samples,valid_samples,parsing_errors,valid_output_rate,formal_register_accuracy,formal_register_precision,formal_register_recall,formal_register_f1,formal_register_exact_match,formal_register_off_by_one,formal_register_end_to_end_f1,formal_register_end_to_end_exact_match,formal_register_end_to_end_off_by_one,thematic_coherence_accuracy,thematic_coherence_precision,thematic_coherence_recall,thematic_coherence_f1,thematic_coherence_exact_match,thematic_coherence_off_by_one,thematic_coherence_end_to_end_f1,thematic_coherence_end_to_end_exact_match,thematic_coherence_end_to_end_off_by_one,narrative_rhetorical_structure_accuracy,narrative_rhetorical_structure_precision,narrative_rhetorical_structure_recall,narrative_rhetorical_structure_f1,narrative_rhetorical_structure_exact_match,narrative_rhetorical_structure_off_by_one,narrative_rhetorical_structure_end_to_end_f1,narrative_rhetorical_structure_end_to_end_exact_match,narrative_rhetorical_structure_end_to_end_off_by_one,cohesion_accuracy,cohesion_precision,cohesion_recall,cohesion_f1,cohesion_exact_match,cohesion_off_by_one,cohesion_end_to_end_f1,cohesion_end_to_end_exact_match,cohesion_end_to_end_off_by_one,overall_accuracy,overall_precision,overall_recall,overall_f1,overall_exact_match,overall_off_by_one,end_to_end_accuracy,end_to_end_precision,end_to_end_recall,end_to_end_f1,end_to_end_exact_match,end_to_end_off_by_one
gemma-3-1b-it-4bit,fine-tuned,370,370,0,1.0,0.672972972972973,0.45289262235208183,0.672972972972973,0.5414225210671092,0.672972972972973,0.9621621621621622,0.5414225210671092,0.672972972972973,0.9621621621621622,0.4135135135135135,0.17099342585829072,0.4135135135135135,0.24194098496201746,0.4135135135135135,0.6837837837837838,0.24194098496201746,0.4135135135135135,0.6837837837837838,0.6486486486486487,0.42074506939371803,0.6486486486486487,0.5104120513956579,0.6486486486486487,0.9486486486486486,0.5104120513956579,0.6486486486486487,0.9486486486486486,0.6945945945945946,0.48246165084002923,0.6945945945945946,0.5694124746756325,0.6945945945945946,0.9432432432432433,0.5694124746756325,0.6945945945945946,0.9432432432432433,0.6074324324324324,0.4381720233747261,0.6074324324324324,0.5051327868597645,0.6074324324324324,0.8844594594594595,0.6074324324324324,0.4381720233747261,0.6074324324324324,0.5051327868597645,0.6074324324324324,0.8844594594594595
gemma-3-270m-it-4bit,fine-tuned,370,370,0,1.0,0.5864864864864865,0.5012926859216612,0.5864864864864865,0.53946352367405,0.5864864864864865,0.9486486486486486,0.53946352367405,0.5864864864864865,0.9486486486486486,0.31351351351351353,0.17243075893230692,0.31351351351351353,0.21331731925665448,0.31351351351351353,0.581081081081081,0.21331731925665448,0.31351351351351353,0.581081081081081,0.6351351351351351,0.47452582404362814,0.6351351351351351,0.5382426744645116,0.6351351351351351,0.9540540540540541,0.5382426744645116,0.6351351351351351,0.9540540540540541,0.6027027027027027,0.5315809878530727,0.6027027027027027,0.5637075924845709,0.6027027027027027,0.9378378378378378,0.5637075924845709,0.6027027027027027,0.9378378378378378,0.5344594594594595,0.5491181874882143,0.5344594594594595,0.5340943152414945,0.5344594594594595,0.8554054054054054,0.5344594594594595,0.5491181874882143,0.5344594594594595,0.5340943152414945,0.5344594594594595,0.8554054054054054
qwen2.5-0.5b-it-4bit,fine-tuned,370,370,0,1.0,0.672972972972973,0.45289262235208183,0.672972972972973,0.5414225210671092,0.672972972972973,0.9621621621621622,0.5414225210671092,0.672972972972973,0.9621621621621622,0.4135135135135135,0.17099342585829072,0.4135135135135135,0.24194098496201746,0.4135135135135135,0.6837837837837838,0.24194098496201746,0.4135135135135135,0.6837837837837838,0.6,0.45455159705159714,0.6,0.5137721453510927,0.6,0.9378378378378378,0.5137721453510927,0.6,0.9378378378378378,0.6945945945945946,0.48246165084002923,0.6945945945945946,0.5694124746756325,0.6945945945945946,0.9432432432432433,0.5694124746756325,0.6945945945945946,0.9432432432432433,0.5952702702702702,0.4491249003917923,0.5952702702702702,0.5036571957995556,0.5952702702702702,0.8817567567567568,0.5952702702702702,0.4491249003917923,0.5952702702702702,0.5036571957995556,0.5952702702702702,0.8817567567567568
smol-lm-135m-4bit,fine-tuned,370,370,0,1.0,0.672972972972973,0.5215916747772703,0.672972972972973,0.5591176656750427,0.672972972972973,0.9648648648648649,0.5591176656750427,0.672972972972973,0.9648648648648649,0.43783783783783786,0.26777834567904873,0.43783783783783786,0.3183371055784849,0.43783783783783786,0.7432432432432432,0.3183371055784849,0.43783783783783786,0.7432432432432432,0.6486486486486487,0.510116792359783,0.6486486486486487,0.567616736749205,0.6486486486486487,0.9594594594594594,0.567616736749205,0.6486486486486487,0.9594594594594594,0.7081081081081081,0.582447924996002,0.7081081081081081,0.6301116532353854,0.7081081081081081,0.9513513513513514,0.6301116532353854,0.7081081081081081,0.9513513513513514,0.6168918918918919,0.5146678538191367,0.6168918918918919,0.5477447174711795,0.6168918918918919,0.9047297297297298,0.6168918918918919,0.5146678538191367,0.6168918918918919,0.5477447174711795,0.6168918918918919,0.9047297297297298
smol-lm-135m-it-4bit,fine-tuned,370,370,0,1.0,0.672972972972973,0.45289262235208183,0.672972972972973,0.5414225210671092,0.672972972972973,0.9621621621621622,0.5414225210671092,0.672972972972973,0.9621621621621622,0.41621621621621624,0.2741929940840022,0.41621621621621624,0.2486024087748226,0.41621621621621624,0.6864864864864865,0.2486024087748226,0.41621621621621624,0.6864864864864865,0.6486486486486487,0.42074506939371803,0.6486486486486487,0.5104120513956579,0.6486486486486487,0.9486486486486486,0.5104120513956579,0.6486486486486487,0.9486486486486486,0.6945945945945946,0.48246165084002923,0.6945945945945946,0.5694124746756325,0.6945945945945946,0.9432432432432433,0.5694124746756325,0.6945945945945946,0.9432432432432433,0.6081081081081081,0.4707017168783813,0.6081081081081081,0.5070297588741884,0.6081081081081081,0.8851351351351351,0.6081081081081081,0.4707017168783813,0.6081081081081081,0.5070297588741884,0.6081081081081081,0.8851351351351351
smol-lm-360m-it,fine-tuned,370,370,0,1.0,0.672972972972973,0.45289262235208183,0.672972972972973,0.5414225210671092,0.672972972972973,0.9621621621621622,0.5414225210671092,0.672972972972973,0.9621621621621622,0.4189189189189189,0.26697405788314876,0.4189189189189189,0.2585466544768871,0.4189189189189189,0.6918918918918919,0.2585466544768871,0.4189189189189189,0.6918918918918919,0.47297297297297297,0.4372444785210743,0.47297297297297297,0.4464216685486354,0.47297297297297297,0.918918918918919,0.4464216685486354,0.47297297297297297,0.918918918918919,0.6945945945945946,0.48246165084002923,0.6945945945945946,0.5694124746756325,0.6945945945945946,0.9432432432432433,0.5694124746756325,0.6945945945945946,0.9432432432432433,0.5648648648648649,0.502762297207524,0.5648648648648649,0.4845765132183851,0.5648648648648649,0.879054054054054,0.5648648648648649,0.502762297207524,0.5648648648648649,0.4845765132183851,0.5648648648648649,0.879054054054054
gemma-3-1b-it-4bit,zero-shot,370,0,370,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
gemma-3-270m-it-4bit,zero-shot,370,0,370,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5-0.5b-it-4bit,zero-shot,370,0,370,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
smol-lm-135m-4bit,zero-shot,370,0,370,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
